Period,Model,MAE,RMSE,R2,Mean Error,Std Dev Error,Theil's U
2023-01-30/2023-02-05,Model 1 - Kasten Model,19.28493644,25.23293042,0.268130622,-0.356787198,25.23040785,0.003457508
2023-01-30/2023-02-05,Model  2 - Balint et al. Model,19.49761999,25.49402106,0.25290664,-0.179981957,25.49338573,0.003795636
2023-01-30/2023-02-05,Model 3  - Real World GHI,18.63228064,24.10553666,0.332068684,10.07052366,21.90117465,0.001133168
2023-01-30/2023-02-05,Model 4 - Karamov Naumov,16.61008448,23.42673894,0.369156152,-11.63581368,20.33273069,0.000750774
2023-01-30/2023-02-05,Model 5 - HDKR,17.69875587,22.25320879,0.430775634,2.28820156,22.13525322,0.000807203
2023-02-06/2023-02-12,Model 1 - Kasten Model,29.67317446,41.96424938,-0.105874203,9.347330262,40.90996997,0.021109817
2023-02-06/2023-02-12,Model  2 - Balint et al. Model,29.61553818,41.81204216,-0.097866588,9.417478853,40.73767251,0.025053729
2023-02-06/2023-02-12,Model 3  - Real World GHI,21.98523027,30.20561675,0.427042743,5.398067783,29.71935645,0.004015938
2023-02-06/2023-02-12,Model 4 - Karamov Naumov,24.81438857,33.41847331,0.29867387,-14.89520236,29.91533561,0.001170302
2023-02-06/2023-02-12,Model 5 - HDKR,21.48937735,29.57421769,0.450745859,-2.608140499,29.45898768,0.005905057
2023-02-13/2023-02-19,Model 1 - Kasten Model,45.94978898,63.73938967,-0.481463507,-30.497398,55.96979999,0.04606802
2023-02-13/2023-02-19,Model  2 - Balint et al. Model,46.10027497,63.97656455,-0.492509099,-30.71492049,56.12124794,0.049793018
2023-02-13/2023-02-19,Model 3  - Real World GHI,36.53726529,51.88303484,0.01841955,-20.64672117,47.59792231,0.010660166
2023-02-13/2023-02-19,Model 4 - Karamov Naumov,38.65723033,57.37691673,-0.200465187,-34.92496216,45.52315445,0.009350322
2023-02-13/2023-02-19,Model 5 - HDKR,32.91206321,50.69522689,0.062849591,-26.58739047,43.16383552,0.007054948
2023-02-20/2023-02-26,Model 1 - Kasten Model,40.50044917,58.41891902,-0.938898994,11.90762899,57.19246866,0.083633053
2023-02-20/2023-02-26,Model  2 - Balint et al. Model,40.4794033,58.15208097,-0.921226965,11.62145491,56.97899883,0.084320107
2023-02-20/2023-02-26,Model 3  - Real World GHI,29.09574201,40.52747616,0.066859003,5.654113122,40.13112668,0.066407197
2023-02-20/2023-02-26,Model 4 - Karamov Naumov,24.80169029,36.39079623,0.24763035,-5.161745972,36.0228598,0.065287897
2023-02-20/2023-02-26,Model 5 - HDKR,28.52973117,39.86695179,0.097028144,12.93937653,37.7087043,0.074605856
2023-02-27/2023-03-05,Model 1 - Kasten Model,43.36763965,60.83724034,-1.088170919,21.23917883,57.00935971,0.130374907
2023-02-27/2023-03-05,Model  2 - Balint et al. Model,43.30075099,60.12577973,-1.039616304,20.64713796,56.46950577,0.139616484
2023-02-27/2023-03-05,Model 3  - Real World GHI,30.82523541,39.23557119,0.131465667,9.207931373,38.1397961,0.275181082
2023-02-27/2023-03-05,Model 4 - Karamov Naumov,27.2990238,36.93504453,0.230330484,0.710301162,36.92821396,0.063413804
2023-02-27/2023-03-05,Model 5 - HDKR,41.70009094,55.71714834,-0.751478431,23.13223432,50.68826644,0.304347845
2023-03-06/2023-03-12,Model 1 - Kasten Model,29.4340016,41.59743188,0.171655462,-19.296405,36.85098498,0.020585767
2023-03-06/2023-03-12,Model  2 - Balint et al. Model,30.03942496,42.41789364,0.138656914,-20.3290451,37.22912336,0.02836461
2023-03-06/2023-03-12,Model 3  - Real World GHI,22.15845389,29.29512983,0.589163682,-5.244328252,28.82189538,0.009593424
2023-03-06/2023-03-12,Model 4 - Karamov Naumov,24.88210613,33.62370324,0.45878595,-4.914921611,33.26254598,0.017059699
2023-03-06/2023-03-12,Model 5 - HDKR,25.62367342,33.91380015,0.449406744,13.08695068,31.28701907,0.012030733
2023-03-13/2023-03-19,Model 1 - Kasten Model,43.90170614,56.10139548,-0.041785417,-1.056512693,56.09144637,0.001033525
2023-03-13/2023-03-19,Model  2 - Balint et al. Model,43.91041679,55.70699052,-0.027188952,-2.205687716,55.6633069,0.001083581
2023-03-13/2023-03-19,Model 3  - Real World GHI,33.03460213,40.19973883,0.465094075,-3.442872819,40.05203651,0.003459784
2023-03-13/2023-03-19,Model 4 - Karamov Naumov,28.71888823,40.72243838,0.451093346,-12.64275372,38.71017652,0.000443286
2023-03-13/2023-03-19,Model 5 - HDKR,39.14517818,50.89399994,0.142638227,1.810159192,50.86179857,0.002711414
2023-03-20/2023-03-26,Model 1 - Kasten Model,30.17061141,42.92296219,0.40000073,-6.131989012,42.48269523,0.018303317
2023-03-20/2023-03-26,Model  2 - Balint et al. Model,30.5285104,43.50739605,0.38355046,-7.399035335,42.87362577,0.018714004
2023-03-20/2023-03-26,Model 3  - Real World GHI,20.33387316,27.43610378,0.754858847,3.219874243,27.24650804,0.076254674
2023-03-20/2023-03-26,Model 4 - Karamov Naumov,18.88650164,26.55028885,0.770432792,-0.977630368,26.53228368,0.014519071
2023-03-20/2023-03-26,Model 5 - HDKR,26.15628604,36.12500348,0.575001746,8.791002054,35.03903765,0.065605678
2023-03-27/2023-04-02,Model 1 - Kasten Model,28.39409201,45.18623942,0.07075437,2.754353543,45.10221468,0.014983162
2023-03-27/2023-04-02,Model  2 - Balint et al. Model,28.23285212,44.49034101,0.099155983,1.399645643,44.46831946,0.015035008
2023-03-27/2023-04-02,Model 3  - Real World GHI,23.40108825,30.21790177,0.584427559,2.368738731,30.12491766,0.02503157
2023-03-27/2023-04-02,Model 4 - Karamov Naumov,28.18891808,38.35170569,0.330597242,6.553566987,37.7876182,0.013217858
2023-03-27/2023-04-02,Model 5 - HDKR,34.34317829,46.75354346,0.00517385,14.94441699,44.30077005,0.02424667
2023-04-03/2023-04-09,Model 1 - Kasten Model,70.74109816,96.69386296,-0.512103466,25.12520026,93.37251976,0.086509215
2023-04-03/2023-04-09,Model  2 - Balint et al. Model,69.78885094,94.73527203,-0.451466779,22.74730313,91.96375355,0.092596793
2023-04-03/2023-04-09,Model 3  - Real World GHI,31.21688816,41.63177283,0.719693288,-11.58213704,39.9882309,0.579160087
2023-04-03/2023-04-09,Model 4 - Karamov Naumov,29.00043804,39.02266211,0.753726618,-7.349343915,38.32434347,0.026654756
2023-04-03/2023-04-09,Model 5 - HDKR,33.42638501,48.8466106,0.614119746,-11.99516787,47.35089561,0.327515793
2023-04-10/2023-04-16,Model 1 - Kasten Model,51.33575073,77.96172304,-0.431811059,7.171003552,77.63122418,0.19561416
2023-04-10/2023-04-16,Model  2 - Balint et al. Model,51.58558394,76.92509652,-0.39398774,4.839184688,76.77273452,0.193204513
2023-04-10/2023-04-16,Model 3  - Real World GHI,34.05642769,48.07427308,0.455562154,-5.574128255,47.75002436,0.191838255
